True_Label,Predicted_Label,Confidence
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.98714
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.03062
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.80797
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,91.0064
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.97788
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,96.603004
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.92434
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,87.2406
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.991104
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99721
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,63.644005
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,99.036644
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.9788
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.96561
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,98.610664
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.999596
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.38134
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.899574
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.874626
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,63.19905
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99949
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.896835
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.795425
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99919
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.66157
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.3302
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.74987
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,76.16887
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,98.68188
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,62.233032
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99678
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,94.68647
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.67276
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,54.17661
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99824
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,64.4313
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.856094
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.936775
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99741
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,64.02787
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.716255
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,95.304016
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.991974
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,97.19759
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.513275
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.98553
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.9951
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,97.34857
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,95.7566
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,97.803444
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,90.30273
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,87.83915
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.73677
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,67.50397
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,98.87792
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.994514
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,92.246956
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.634865
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.997665
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,59.874184
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,94.11198
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.340866
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.45996
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.96868
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.83029
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.032196
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99536
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.831924
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.902596
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,98.63065
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.99907
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,91.91717
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,55.127983
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.9858
Pepper__bell___Bacterial_spot,Pepper__bell___healthy,90.62372
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.3362
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.96433
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,98.97308
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.9803
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.39195
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.995995
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,97.93381
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,96.03313
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.53425
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.61353
Pepper__bell___Bacterial_spot,Pepper__bell___Bacterial_spot,99.89647
